model,weight_quant,cache_type_k,cache_type_v,n_ctx,example_id,domain,sub_domain,difficulty,length,predicted,expected,is_correct,ttft_s,decode_tokens_per_second,prompt_tokens,predicted_tokens
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f37635821e116aacb2d017,Single-Document QA,Governmental,hard,short,A,D,False,2.0733525269897655,142.08834342752607,19541,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6703a0ecbb02136c067cd11b,Long Structured Data Understanding,Table QA,hard,short,B,A,False,9.492937021015678,121.36578224513423,75900,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fab090bb02136c067c74e7,Multi-Document QA,Academic,hard,short,D,B,False,7.148356405028608,127.50781981551212,56008,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66eae4de5a08c7b9b35dd12d,Single-Document QA,Academic,hard,short,A,C,False,2.289980072993785,143.94508495009154,15754,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f8d84cbb02136c067c465f,Single-Document QA,Legal,hard,short,D,C,False,2.8089888420072384,138.65659095439065,27414,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f59d31821e116aacb340f6,Multi-Document QA,Academic,hard,short,D,D,True,7.966846047027502,124.9307025009565,65770,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fcf2f2bb02136c067c9169,Multi-Document QA,Multi-news,easy,short,D,B,False,3.100682052958291,140.8236865440767,22842,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fb6d71bb02136c067c7c34,Multi-Document QA,Legal,hard,short,A,B,False,2.910543634032365,138.55168031797612,27426,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66eecc45821e116aacb225c3,Multi-Document QA,Legal,hard,short,?,C,False,5.113597702991683,131.0454973586142,46072,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b08c8bb02136c067d4e19,Long-dialogue History Understanding,Agent history QA,easy,short,A,C,False,3.410799346980639,138.42237424651728,28930,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebd49a5a08c7b9b35e0550,Single-Document QA,Governmental,easy,short,D,B,False,1.9848115019849502,143.3102656054243,16936,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec3aff821e116aacb1c52e,Single-Document QA,Literary,easy,medium,D,D,True,11.164984276983887,118.3260196143866,85264,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725db01bb02136c067d847f,Long In-context Learning,Many-shot learning,hard,medium,A,A,True,14.979623903986067,113.82233319650756,100268,127
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6719167dbb02136c067d4025,Long-dialogue History Understanding,Dialogue history QA,easy,medium,A,A,True,14.582305877003819,114.43140999165007,96877,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3cca6821e116aacb2ef7c,Multi-Document QA,Governmental,easy,medium,C,B,False,15.323274791997392,113.82239615707135,100499,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f19f04821e116aacb27bab,Long In-context Learning,User guide QA,hard,medium,D,A,False,13.21449887601193,116.91419594088526,90005,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,670493d4bb02136c067cdcd9,Single-Document QA,Literary,easy,medium,B,B,True,5.517946337000467,132.6977663233803,41953,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f2c44e821e116aacb2b826,Multi-Document QA,Academic,hard,medium,D,C,False,19.619895777024794,107.62977375885214,124218,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fa788abb02136c067c6d75,Code Repository Understanding,Code repo QA,hard,medium,A,D,False,17.974925182003062,108.47384085531623,119700,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67246903bb02136c067d74f2,Single-Document QA,Event ordering,easy,medium,A,A,True,19.63765816000523,106.96554623042552,126857,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725d7a9bb02136c067d822d,Long In-context Learning,Many-shot learning,hard,medium,C,A,False,17.964342377032153,110.65035611261094,111389,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f8d4b3bb02136c067c45c2,Single-Document QA,Financial,hard,medium,D,B,False,11.75218741298886,116.81368764384968,89828,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,670397b5bb02136c067ccec6,Single-Document QA,Literary,easy,medium,A,B,False,6.693951049004681,129.7563823920589,50471,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebdfb65a08c7b9b35e140a,Single-Document QA,Academic,hard,medium,A,C,False,16.3974881489994,112.02432328119244,108914,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f52d48821e116aacb32cf4,Single-Document QA,Literary,hard,medium,A,A,True,21.050665418966673,107.08725184830087,126268,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f8c783bb02136c067c44b8,Multi-Document QA,Financial,hard,medium,B,B,True,11.023921523010358,120.9930504616641,76009,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6719ef50bb02136c067d4911,Long-dialogue History Understanding,Dialogue history QA,easy,medium,C,C,True,14.331006421998609,114.32889385901997,97242,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66efaf70821e116aacb234bd,Multi-Document QA,Multi-news,hard,medium,C,D,False,10.642282280954532,121.14592689411184,75649,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fa700bbb02136c067c6c06,Code Repository Understanding,Code repo QA,easy,medium,A,C,False,16.34923189203255,112.1724651651915,107167,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67189156bb02136c067d3b8d,Long-dialogue History Understanding,Dialogue history QA,hard,medium,D,B,False,14.713265288970433,114.9977764101827,97136,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f17aab821e116aacb2772d,Single-Document QA,Financial,hard,medium,B,D,False,17.03251366200857,111.79312681882178,109074,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725dcb2bb02136c067d85b7,Long In-context Learning,Many-shot learning,hard,medium,C,A,False,15.186206299986225,114.27959216470546,99153,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ecfdbd821e116aacb1e3f7,Single-Document QA,Literary,hard,medium,B,C,False,16.858712720044423,112.07139491892234,108041,103
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67192057bb02136c067d41b4,Long-dialogue History Understanding,Dialogue history QA,easy,medium,C,C,True,13.03714727301849,115.06445407310189,96452,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f4ce9e821e116aacb31731,Multi-Document QA,Governmental,easy,medium,A,B,False,5.640495812986046,128.70362270533005,52924,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ece28e821e116aacb1db1f,Single-Document QA,Literary,easy,medium,D,D,True,6.847432048001792,127.89768185451639,55731,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725d977bb02136c067d8373,Long In-context Learning,Many-shot learning,easy,medium,A,A,True,18.496595614007674,108.08893692841642,122192,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725dc6abb02136c067d8586,Long In-context Learning,Many-shot learning,easy,medium,B,C,False,13.571056763990782,114.2260515712775,99070,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,670fb8dfbb02136c067d2c48,Single-Document QA,Detective,easy,medium,A,D,False,15.708342114987317,113.22423706324635,102590,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f28ede821e116aacb29a27,Multi-Document QA,Academic,hard,medium,B,B,True,17.22130781697342,111.61512315159253,109559,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fc05b6bb02136c067c88e4,Multi-Document QA,Academic,hard,medium,D,A,False,10.624775049975142,122.08102364938331,74850,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67286634bb02136c067d91f0,Long In-context Learning,Many-shot learning,hard,medium,B,D,False,17.273167434963398,153.55479346880279,111381,3
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fe81dcbb02136c067ca2de,Multi-Document QA,Legal,hard,medium,A,C,False,7.676807012001518,127.94165860367671,56136,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec31eb821e116aacb1bf28,Single-Document QA,Literary,easy,medium,D,B,False,14.028439953981433,113.4092230050609,101483,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed211f821e116aacb1ee0d,Single-Document QA,Literary,hard,medium,A,C,False,14.228739559999667,115.45906705465724,94373,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec2df6821e116aacb1bb7b,Long In-context Learning,User guide QA,hard,medium,B,C,False,14.27806437399704,115.15150969926565,95982,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f97d7fbb02136c067c56b2,Multi-Document QA,Financial,hard,medium,C,A,False,7.239596343017183,128.45163595200725,54523,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f535c5821e116aacb33168,Multi-Document QA,Governmental,hard,medium,C,B,False,19.26064973603934,108.05061495994529,122033,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,670cf1c0bb02136c067d26e5,Single-Document QA,Detective,hard,medium,D,A,False,12.33629452099558,115.99908288225095,92853,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,672468b1bb02136c067d74bd,Single-Document QA,Event ordering,hard,medium,B,B,True,19.25245442800224,119.14690813773382,119544,9
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67246a00bb02136c067d759f,Single-Document QA,Event ordering,hard,medium,B,B,True,20.707565015996806,117.81646812410001,124206,9
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f590fa821e116aacb33f35,Multi-Document QA,Academic,hard,medium,C,C,True,10.262234195019118,123.00040263413051,71737,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b5d49bb02136c067d55fb,Long-dialogue History Understanding,Dialogue history QA,easy,medium,C,C,True,14.612629187991843,114.38569964281278,98848,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6723a1ccbb02136c067d70b3,Single-Document QA,Event ordering,easy,medium,D,D,True,20.555402379017323,106.8670423711125,124887,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f5605a821e116aacb3381f,Multi-Document QA,Governmental,hard,long,D,D,True,18.338627195975278,108.3424535672176,121237,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f55828821e116aacb3363e,Multi-Document QA,Governmental,hard,long,D,D,True,17.927738180034794,110.33750345882213,111861,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fa3843bb02136c067c655d,Code Repository Understanding,Code repo QA,hard,long,?,D,False,,1000000.0,115376,1
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fcfb1cbb02136c067c938b,Long In-context Learning,New language translation,easy,long,D,A,False,19.931371857994236,106.71780228025929,128320,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fcf53fbb02136c067c91e7,Long In-context Learning,New language translation,easy,long,B,A,False,21.82511539699044,106.82289515082476,128345,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f1dac1821e116aacb27df1,Code Repository Understanding,Code repo QA,easy,long,?,A,False,17.92638865695335,110.80984684001481,110882,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fcf80dbb02136c067c928e,Code Repository Understanding,Code repo QA,hard,long,C,B,False,16.075552464986686,113.19970461952077,104024,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f40c5e821e116aacb30ad2,Code Repository Understanding,Code repo QA,hard,long,B,A,False,19.521206007979345,108.90159974748441,119832,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f3c1c3821e116aacb2eaf6,Multi-Document QA,Governmental,hard,short,A,A,True,3.2843903899774887,124.42731840659154,33941,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66eefe85821e116aacb228dc,Multi-Document QA,Academic,hard,short,A,A,True,3.2310046680504456,126.25104428354012,30966,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebde0f5a08c7b9b35e1256,Single-Document QA,Academic,hard,short,D,D,True,2.255962774041109,132.76052697631675,21745,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,671b1480bb02136c067d4f14,Long-dialogue History Understanding,Agent history QA,easy,short,?,A,False,2.9781552070053294,127.39702985768359,29611,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ed0cb0821e116aacb1e6c1,Single-Document QA,Financial,hard,short,D,A,False,6.098535696044564,114.96740943397414,53398,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f67c18bb02136c067c21b8,Single-Document QA,Academic,easy,short,A,C,False,2.7163249949808232,130.96933680402077,24631,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebdadd5a08c7b9b35e0e5b,Single-Document QA,Academic,hard,short,D,B,False,3.928792596969288,122.99721142259727,37602,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6704a442bb02136c067cdd91,Single-Document QA,Literary,hard,short,B,C,False,1.828379757993389,135.30126200138048,16748,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f3ad93821e116aacb2e29f,Code Repository Understanding,Code repo QA,hard,short,D,C,False,3.3903663500095718,124.34065453697677,33566,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f9625fbb02136c067c5456,Long In-context Learning,User guide QA,easy,short,B,B,True,1.45888216199819,139.50999294820582,13174,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f39ac5821e116aacb2da81,Code Repository Understanding,Code repo QA,easy,short,A,B,False,14.40782526700059,96.16381505895293,100053,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fa6867bb02136c067c6b3b,Multi-Document QA,Multi-news,hard,short,B,D,False,3.046285341028124,130.13115797414252,24525,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ec3a46821e116aacb1c49f,Long In-context Learning,User guide QA,easy,short,D,A,False,2.6683232150389813,129.65110684567972,26214,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebd5125a08c7b9b35e0616,Single-Document QA,Legal,easy,short,A,C,False,2.1074693740229122,133.130586544242,20396,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fe8eb3bb02136c067ca35f,Single-Document QA,Legal,hard,short,C,D,False,1.6144991110195406,137.47815654680647,15714,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fcf36fbb02136c067c919e,Code Repository Understanding,Code repo QA,hard,short,B,D,False,9.275897928979248,106.31529461795434,73271,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,671b3fa1bb02136c067d5353,Long-dialogue History Understanding,Agent history QA,hard,short,?,C,False,3.8497976820217445,125.22256354066799,33818,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f41348821e116aacb30c89,Multi-Document QA,Legal,hard,short,B,D,False,1.4291281110490672,139.27561447204204,12444,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebe68d5a08c7b9b35e190b,Single-Document QA,Legal,hard,short,A,C,False,1.6911713359877467,135.35963892816315,17240,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f91f2cbb02136c067c4b1e,Single-Document QA,Literary,hard,short,D,B,False,1.3335227030329406,139.4590731201353,12822,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebc95f5a08c7b9b35df497,Single-Document QA,Academic,easy,short,D,B,False,3.044678316975478,126.83150137780628,30472,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ed1556821e116aacb1ea14,Single-Document QA,Academic,hard,short,A,A,True,2.617072574037593,130.1847606532834,25503,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66faac15bb02136c067c73f3,Multi-Document QA,Academic,hard,short,B,C,False,4.683196861005854,119.56582659218712,43040,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f284ff821e116aacb29763,Single-Document QA,Governmental,hard,short,A,C,False,2.0989821549737826,133.81982415238733,18959,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f37635821e116aacb2d017,Single-Document QA,Governmental,hard,short,D,D,True,1.971969773992896,133.3758468845278,19541,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6703a0ecbb02136c067cd11b,Long Structured Data Understanding,Table QA,hard,short,B,A,False,9.737787225982174,103.74511769802552,75900,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fab090bb02136c067c74e7,Multi-Document QA,Academic,hard,short,D,B,False,6.856523463036865,111.91119846401881,56008,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66eae4de5a08c7b9b35dd12d,Single-Document QA,Academic,hard,short,A,C,False,1.919484666956123,137.14055514068156,15754,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f8d84cbb02136c067c465f,Single-Document QA,Legal,hard,short,D,C,False,2.7260524789453484,128.09376463571334,27414,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f59d31821e116aacb340f6,Multi-Document QA,Academic,hard,short,D,D,True,8.043994559033308,109.92087414575165,65770,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fcf2f2bb02136c067c9169,Multi-Document QA,Multi-news,easy,short,D,B,False,2.6372019649716094,131.47515119642387,22842,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fb6d71bb02136c067c7c34,Multi-Document QA,Legal,hard,short,A,B,False,2.801975191978272,128.1117134140971,27426,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66eecc45821e116aacb225c3,Multi-Document QA,Legal,hard,short,?,C,False,5.062424380972516,116.89241514341239,46072,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,671b08c8bb02136c067d4e19,Long-dialogue History Understanding,Agent history QA,easy,short,A,C,False,3.099389627983328,127.82066760335249,28930,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebd49a5a08c7b9b35e0550,Single-Document QA,Governmental,easy,short,A,B,False,1.8042583229835145,135.31599456198848,16936,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ec3aff821e116aacb1c52e,Single-Document QA,Literary,easy,medium,D,D,True,11.477030017995276,99.95845476723737,85264,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6725db01bb02136c067d847f,Long In-context Learning,Many-shot learning,hard,medium,A,A,True,14.96788456698414,95.5567390434643,100268,75
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6719167dbb02136c067d4025,Long-dialogue History Understanding,Dialogue history QA,easy,medium,A,A,True,14.451524549978785,95.92268631483026,96877,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f3cca6821e116aacb2ef7c,Multi-Document QA,Governmental,easy,medium,C,B,False,15.185072067019064,95.1189135042105,100499,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f19f04821e116aacb27bab,Long In-context Learning,User guide QA,hard,medium,D,A,False,13.006425347994082,99.55766839051807,90005,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,670493d4bb02136c067cdcd9,Single-Document QA,Literary,easy,medium,B,B,True,5.025477179966401,118.83309613133284,41953,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f2c44e821e116aacb2b826,Multi-Document QA,Academic,hard,medium,D,C,False,20.15205827000318,87.6253795958827,124218,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fa788abb02136c067c6d75,Code Repository Understanding,Code repo QA,hard,medium,A,D,False,18.68588905100478,88.72886883862923,119700,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,67246903bb02136c067d74f2,Single-Document QA,Event ordering,easy,medium,A,A,True,20.428128021012526,86.24802235979979,126857,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6725d7a9bb02136c067d822d,Long In-context Learning,Many-shot learning,hard,medium,C,A,False,17.768789737019688,90.09192895969865,111389,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f8d4b3bb02136c067c45c2,Single-Document QA,Financial,hard,medium,D,B,False,12.223443900002167,97.65453639653235,89828,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,670397b5bb02136c067ccec6,Single-Document QA,Literary,easy,medium,A,B,False,6.1395526949781924,115.46073342822761,50471,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebdfb65a08c7b9b35e140a,Single-Document QA,Academic,hard,medium,A,C,False,16.68888218101347,92.93477866275566,108914,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f52d48821e116aacb32cf4,Single-Document QA,Literary,hard,medium,A,A,True,21.14511186996242,86.4913370141704,126268,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f8c783bb02136c067c44b8,Multi-Document QA,Financial,hard,medium,B,B,True,10.58186845399905,103.26902953736281,76009,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6719ef50bb02136c067d4911,Long-dialogue History Understanding,Dialogue history QA,easy,medium,C,C,True,14.310773689008784,94.1276827308794,97242,128
